,County,Cases,Rate_per_100k
167,"Bedford County, VA",0,0.0
168,"Bee County, TX",11,39.9
169,"Belknap County, NH",0,0.0
170,"Bell County, KY",Data suppressed,Data suppressed
171,"Bell County, TX",49,17.8
172,"Belmont County, OH",5,8.5
173,"Beltrami County, MN",Data suppressed,Data suppressed
174,"Ben Hill County, GA",0,0.0
175,"Benewah County, ID",0,0.0
176,"Bennett County, SD",0,0.0
177,"Bennington County, VT",Data suppressed,Data suppressed
178,"Benson County, ND",Data suppressed,Data suppressed
179,"Bent County, CO",0,0.0
180,"Benton County, AR",10,4.6
181,"Benton County, IA",Data suppressed,Data suppressed
182,"Benton County, IN",0,0.0
183,"Benton County, MN",Data suppressed,Data suppressed
184,"Benton County, MO",0,0.0
185,"Benton County, MS",0,0.0
186,"Benton County, OR",Data suppressed,Data suppressed
187,"Benton County, TN",Data suppressed,Data suppressed
188,"Benton County, WA",Data suppressed,Data suppressed
189,"Benzie County, MI",0,0.0
190,"Bergen County, NJ",49,6.2
191,"Berkeley County, SC",20,11.3
192,"Berkeley County, WV",9,9.4
193,"Berks County, PA",36,10.2
194,"Berkshire County, MA",Data suppressed,Data suppressed
195,"Bernalillo County, NM",55,9.6
196,"Berrien County, GA",0,0.0
197,"Berrien County, MI",9,6.9
198,"Bertie County, NC",Data suppressed,Data suppressed
199,"Bethel Census Area, AK",Data suppressed,Data suppressed
200,"Bexar County, TX",349,21.9
201,"Bibb County, AL",5,25.9
202,"Bibb County, GA",52,41.4
203,"Bienville Parish, LA",Data suppressed,Data suppressed
204,"Big Horn County, MT",Data suppressed,Data suppressed
205,"Big Horn County, WY",0,0.0
206,"Big Stone County, MN",0,0.0
207,"Billings County, ND",0,0.0
208,"Bingham County, ID",0,0.0
209,"Black Hawk County, IA",7,6.3
210,"Blackford County, IN",0,0.0
211,"Bladen County, NC",Data suppressed,Data suppressed
212,"Blaine County, ID",0,0.0
213,"Blaine County, MT",0,0.0
214,"Blaine County, NE",0,0.0
215,"Blaine County, OK",0,0.0
216,"Blair County, PA",Data suppressed,Data suppressed
217,"Blanco County, TX",0,0.0
218,"Bland County, VA",0,0.0
219,"Bleckley County, GA",Data suppressed,Data suppressed
220,"Bledsoe County, TN",Data suppressed,Data suppressed
221,"Blount County, AL",Data suppressed,Data suppressed
222,"Blount County, TN",9,8.1
223,"Blue Earth County, MN",Data suppressed,Data suppressed
224,"Boise County, ID",0,0.0
225,"Bolivar County, MS",Data suppressed,Data suppressed
226,"Bollinger County, MO",0,0.0
227,"Bon Homme County, SD",0,0.0
228,"Bond County, IL",0,0.0
229,"Bonner County, ID",Data suppressed,Data suppressed
230,"Bonneville County, ID",Data suppressed,Data suppressed
231,"Boone County, AR",Data suppressed,Data suppressed
232,"Boone County, IA",0,0.0
233,"Boone County, IL",Data suppressed,Data suppressed
234,"Boone County, IN",Data suppressed,Data suppressed
235,"Boone County, KY",Data suppressed,Data suppressed
236,"Boone County, MO",18,11.8
237,"Boone County, NE",0,0.0
238,"Boone County, WV",Data suppressed,Data suppressed
239,"Borden County, TX",Data suppressed,Data suppressed
240,"Bosque County, TX",Data suppressed,Data suppressed
241,"Bossier Parish, LA",17,16.4
242,"Botetourt County, VA",0,0.0
243,"Bottineau County, ND",0,0.0
244,"Boulder County, CO",12,4.3
245,"Boundary County, ID",0,0.0
246,"Bourbon County, KS",0,0.0
247,"Bourbon County, KY",Data suppressed,Data suppressed
248,"Bowie County, TX",14,17.9
249,"Bowman County, ND",0,0.0
250,"Box Butte County, NE",0,0.0
251,"Box Elder County, UT",0,0.0
252,"Boyd County, KY",Data suppressed,Data suppressed
253,"Boyd County, NE",0,0.0
254,"Boyle County, KY",Data suppressed,Data suppressed
255,"Bracken County, KY",Data suppressed,Data suppressed
256,"Bradford County, FL",Data suppressed,Data suppressed
257,"Bradford County, PA",Data suppressed,Data suppressed
258,"Bradley County, AR",0,0.0
259,"Bradley County, TN",Data suppressed,Data suppressed
260,"Branch County, MI",Data suppressed,Data suppressed
261,"Brantley County, GA",0,0.0
262,"Braxton County, WV",0,0.0
263,"Brazoria County, TX",37,12.6
264,"Brazos County, TX",28,14.8
265,"Breathitt County, KY",Data suppressed,Data suppressed
266,"Breckinridge County, KY",Data suppressed,Data suppressed
267,"Bremer County, IA",Data suppressed,Data suppressed
268,"Brevard County, FL",53,10.3
269,"Brewster County, TX",0,0.0
270,"Briscoe County, TX",0,0.0
271,"Bristol Bay Borough, AK",Data suppressed,Data suppressed
272,"Bristol City, VA",Data suppressed,Data suppressed
273,"Bristol County, MA",35,7.3
274,"Bristol County, RI",Data suppressed,Data suppressed
275,"Broadwater County, MT",0,0.0
276,"Bronx County, NY",502,42.7
277,"Brooke County, WV",0,0.0
278,"Brookings County, SD",Data suppressed,Data suppressed
279,"Brooks County, GA",Data suppressed,Data suppressed
280,"Brooks County, TX",Data suppressed,Data suppressed
281,"Broome County, NY",13,7.8
282,"Broomfield County, CO",Data suppressed,Data suppressed
283,"Broward County, FL",670,40.9
284,"Brown County, IL",0,0.0
285,"Brown County, IN",0,0.0
286,"Brown County, KS",0,0.0
287,"Brown County, MN",0,0.0
288,"Brown County, NE",0,0.0
289,"Brown County, OH",Data suppressed,Data suppressed
290,"Brown County, SD",0,0.0
291,"Brown County, TX",0,0.0
292,"Brown County, WI",Data suppressed,Data suppressed
293,"Brule County, SD",0,0.0
294,"Brunswick County, NC",10,8.6
295,"Brunswick County, VA",0,0.0
296,"Bryan County, GA",Data suppressed,Data suppressed
297,"Bryan County, OK",Data suppressed,Data suppressed
298,"Buchanan County, IA",Data suppressed,Data suppressed
299,"Buchanan County, MO",11,14.8
300,"Buchanan County, VA",0,0.0
301,"Buckingham County, VA",Data suppressed,Data suppressed
302,"Bucks County, PA",26,4.8
303,"Buena Vista City, VA",0,0.0
304,"Buena Vista County, IA",Data suppressed,Data suppressed
305,"Buffalo County, NE",Data suppressed,Data suppressed
306,"Buffalo County, SD",0,0.0
307,"Buffalo County, WI",0,0.0
308,"Bullitt County, KY",Data suppressed,Data suppressed
309,"Bulloch County, GA",11,16.9
310,"Bullock County, AL",Data suppressed,Data suppressed
311,"Buncombe County, NC",20,9.0
312,"Bureau County, IL",0,0.0
313,"Burke County, GA",Data suppressed,Data suppressed
314,"Burke County, NC",6,7.7
315,"Burke County, ND",0,0.0
316,"Burleigh County, ND",Data suppressed,Data suppressed
317,"Burleson County, TX",0,0.0
318,"Burlington County, NJ",37,9.7
319,"Burnet County, TX",Data suppressed,Data suppressed
320,"Burnett County, WI",0,0.0
321,"Burt County, NE",0,0.0
322,"Butler County, AL",Data suppressed,Data suppressed
323,"Butler County, IA",0,0.0
324,"Butler County, KS",Data suppressed,Data suppressed
325,"Butler County, KY",Data suppressed,Data suppressed
326,"Butler County, MO",Data suppressed,Data suppressed
327,"Butler County, NE",0,0.0
328,"Butler County, OH",25,7.9
329,"Butler County, PA",6,3.7
330,"Butte County, CA",7,3.6
331,"Butte County, ID",0,0.0
332,"Butte County, SD",Data suppressed,Data suppressed
333,"Butts County, GA",13,63.6
334,"Cabarrus County, NC",13,7.7
335,"Cabell County, WV",6,7.4
336,"Cache County, UT",Data suppressed,Data suppressed
337,"Caddo County, OK",Data suppressed,Data suppressed
338,"Caddo Parish, LA",80,39.4
339,"Calaveras County, CA",0,0.0
340,"Calcasieu Parish, LA",45,27.2
341,"Caldwell County, KY",Data suppressed,Data suppressed
342,"Caldwell County, MO",0,0.0
343,"Caldwell County, NC",6,8.5
344,"Caldwell County, TX",5,14.1
345,"Caldwell Parish, LA",Data suppressed,Data suppressed
346,"Caledonia County, VT",0,0.0
347,"Calhoun County, AL",13,13.4
348,"Calhoun County, AR",Data suppressed,Data suppressed
349,"Calhoun County, FL",Data suppressed,Data suppressed
350,"Calhoun County, GA",0,0.0
351,"Calhoun County, IA",0,0.0
352,"Calhoun County, IL",0,0.0
353,"Calhoun County, MI",Data suppressed,Data suppressed
354,"Calhoun County, MS",Data suppressed,Data suppressed
355,"Calhoun County, SC",0,0.0
356,"Calhoun County, TX",0,0.0
357,"Calhoun County, WV",0,0.0
358,"Callahan County, TX",0,0.0
359,"Callaway County, MO",5,13.1
360,"Calloway County, KY",Data suppressed,Data suppressed
361,"Calumet County, WI",Data suppressed,Data suppressed
362,"Calvert County, MD",Data suppressed,Data suppressed
363,"Camas County, ID",0,0.0
364,"Cambria County, PA",Data suppressed,Data suppressed
365,"Camden County, GA",Data suppressed,Data suppressed
366,"Camden County, MO",Data suppressed,Data suppressed
367,"Camden County, NC",0,0.0
368,"Camden County, NJ",62,14.6
369,"Cameron County, PA",0,0.0
370,"Cameron County, TX",60,18.2
371,"Cameron Parish, LA",0,0.0
372,"Camp County, TX",Data suppressed,Data suppressed
373,"Campbell County, KY",13,16.5
374,"Campbell County, SD",0,0.0
375,"Campbell County, TN",0,0.0
376,"Campbell County, VA",0,0.0
377,"Campbell County, WY",Data suppressed,Data suppressed
378,"Canadian County, OK",10,8.8
379,"Candler County, GA",Data suppressed,Data suppressed
380,"Cannon County, TN",Data suppressed,Data suppressed
381,"Canyon County, ID",6,3.5
382,"Cape Girardeau County, MO",Data suppressed,Data suppressed
383,"Cape May County, NJ",Data suppressed,Data suppressed
384,"Carbon County, MT",0,0.0
385,"Carbon County, PA",Data suppressed,Data suppressed
386,"Carbon County, UT",0,0.0
387,"Carbon County, WY",0,0.0
388,"Caribou County, ID",0,0.0
389,"Carlisle County, KY",Data suppressed,Data suppressed
390,"Carlton County, MN",0,0.0
391,"Caroline County, MD",Data suppressed,Data suppressed
392,"Caroline County, VA",Data suppressed,Data suppressed
393,"Carroll County, AR",Data suppressed,Data suppressed
394,"Carroll County, GA",8,8.2
395,"Carroll County, IA",Data suppressed,Data suppressed
396,"Carroll County, IL",0,0.0
397,"Carroll County, IN",Data suppressed,Data suppressed
398,"Carroll County, KY",Data suppressed,Data suppressed
399,"Carroll County, MD",8,5.6
400,"Carroll County, MO",0,0.0
401,"Carroll County, MS",0,0.0
402,"Carroll County, NH",Data suppressed,Data suppressed
403,"Carroll County, OH",0,0.0
404,"Carroll County, TN",Data suppressed,Data suppressed
405,"Carroll County, VA",0,0.0
406,"Carson City, NV",Data suppressed,Data suppressed
407,"Carson County, TX",0,0.0
408,"Carter County, KY",Data suppressed,Data suppressed
409,"Carter County, MO",0,0.0
410,"Carter County, MT",0,0.0
411,"Carter County, OK",Data suppressed,Data suppressed
412,"Carter County, TN",Data suppressed,Data suppressed
413,"Carteret County, NC",Data suppressed,Data suppressed
414,"Carver County, MN",Data suppressed,Data suppressed
415,"Cascade County, MT",Data suppressed,Data suppressed
416,"Casey County, KY",Data suppressed,Data suppressed
417,"Cass County, IA",0,0.0
418,"Cass County, IL",Data suppressed,Data suppressed
419,"Cass County, IN",Data suppressed,Data suppressed
420,"Cass County, MI",Data suppressed,Data suppressed
421,"Cass County, MN",0,0.0
422,"Cass County, MO",5,5.8
423,"Cass County, ND",7,4.7
424,"Cass County, NE",Data suppressed,Data suppressed
425,"Cass County, TX",Data suppressed,Data suppressed
426,"Cassia County, ID",Data suppressed,Data suppressed
427,"Castro County, TX",Data suppressed,Data suppressed
428,"Caswell County, NC",Data suppressed,Data suppressed
429,"Catahoula Parish, LA",Data suppressed,Data suppressed
430,"Catawba County, NC",7,5.3
431,"Catoosa County, GA",7,12.5
432,"Catron County, NM",0,0.0
433,"Cattaraugus County, NY",Data suppressed,Data suppressed
434,"Cavalier County, ND",0,0.0
435,"Cayuga County, NY",0,0.0
436,"Cecil County, MD",6,7.0
437,"Cedar County, IA",0,0.0
438,"Cedar County, MO",0,0.0
439,"Cedar County, NE",0,0.0
440,"Centre County, PA",5,3.4
441,"Cerro Gordo County, IA",Data suppressed,Data suppressed
442,"Chaffee County, CO",Data suppressed,Data suppressed
443,"Chambers County, AL",6,21.0
444,"Chambers County, TX",Data suppressed,Data suppressed
445,"Champaign County, IL",15,8.3
446,"Champaign County, OH",Data suppressed,Data suppressed
447,"Chariton County, MO",0,0.0
448,"Charles City County, VA",0,0.0
449,"Charles County, MD",22,16.6
450,"Charles Mix County, SD",0,0.0
451,"Charleston County, SC",78,22.8
452,"Charlevoix County, MI",0,0.0
453,"Charlotte County, FL",5,3.0
454,"Charlotte County, VA",0,0.0
455,"Charlottesville City, VA",Data suppressed,Data suppressed
456,"Charlton County, GA",7,63.5
457,"Chase County, KS",0,0.0
458,"Chase County, NE",0,0.0
459,"Chatham County, GA",86,35.4
460,"Chatham County, NC",5,8.2
461,"Chattahoochee County, GA",Data suppressed,Data suppressed
462,"Chattooga County, GA",Data suppressed,Data suppressed
463,"Chautauqua County, KS",0,0.0
464,"Chautauqua County, NY",8,7.3
465,"Chaves County, NM",Data suppressed,Data suppressed
466,"Cheatham County, TN",Data suppressed,Data suppressed
467,"Cheboygan County, MI",0,0.0
468,"Chelan County, WA",Data suppressed,Data suppressed
469,"Chemung County, NY",6,8.3
470,"Chenango County, NY",0,0.0
471,"Cherokee County, AL",Data suppressed,Data suppressed
472,"Cherokee County, GA",19,9.3
473,"Cherokee County, IA",0,0.0
474,"Cherokee County, KS",0,0.0
475,"Cherokee County, NC",Data suppressed,Data suppressed
476,"Cherokee County, OK",Data suppressed,Data suppressed
477,"Cherokee County, SC",Data suppressed,Data suppressed
478,"Cherokee County, TX",Data suppressed,Data suppressed
479,"Cherry County, NE",0,0.0
480,"Chesapeake City, VA",20,10.0
481,"Cheshire County, NH",Data suppressed,Data suppressed
482,"Chester County, PA",16,3.7
483,"Chester County, SC",5,18.4
484,"Chester County, TN",0,0.0
485,"Chesterfield County, SC",Data suppressed,Data suppressed
486,"Chesterfield County, VA",Data suppressed,Data suppressed
487,"Cheyenne County, CO",0,0.0
488,"Cheyenne County, KS",0,0.0
489,"Cheyenne County, NE",0,0.0
490,"Chickasaw County, IA",0,0.0
491,"Chickasaw County, MS",Data suppressed,Data suppressed
492,"Chicot County, AR",Data suppressed,Data suppressed
493,"Childress County, TX",Data suppressed,Data suppressed
494,"Chilton County, AL",5,13.7
495,"Chippewa County, MI",0,0.0
496,"Chippewa County, MN",0,0.0
497,"Chippewa County, WI",Data suppressed,Data suppressed
498,"Chisago County, MN",Data suppressed,Data suppressed
499,"Chittenden County, VT",10,7.0
500,"Choctaw County, AL",0,0.0
501,"Choctaw County, MS",Data suppressed,Data suppressed
502,"Choctaw County, OK",0,0.0
503,"Chouteau County, MT",0,0.0
504,"Chowan County, NC",0,0.0
505,"Christian County, IL",Data suppressed,Data suppressed
506,"Christian County, KY",13,23.0
507,"Christian County, MO",Data suppressed,Data suppressed
508,"Churchill County, NV",Data suppressed,Data suppressed
509,"Cibola County, NM",0,0.0
510,"Cimarron County, OK",0,0.0
511,"Citrus County, FL",6,4.6
512,"Clackamas County, OR",15,4.3
513,"Claiborne County, MS",Data suppressed,Data suppressed
514,"Claiborne County, TN",0,0.0
515,"Claiborne Parish, LA",Data suppressed,Data suppressed
516,"Clallam County, WA",Data suppressed,Data suppressed
517,"Clare County, MI",0,0.0
518,"Clarendon County, SC",5,17.0
519,"Clarion County, PA",0,0.0
520,"Clark County, AR",0,0.0
521,"Clark County, ID",0,0.0
522,"Clark County, IL",0,0.0
523,"Clark County, IN",16,16.4
524,"Clark County, KS",0,0.0
525,"Clark County, KY",Data suppressed,Data suppressed
526,"Clark County, MO",0,0.0
527,"Clark County, NV",442,24.4
528,"Clark County, OH",Data suppressed,Data suppressed
529,"Clark County, SD",Data suppressed,Data suppressed
530,"Clark County, WA",24,6.1
531,"Clark County, WI",0,0.0
532,"Clarke County, AL",Data suppressed,Data suppressed
533,"Clarke County, GA",25,22.7
534,"Clarke County, IA",Data suppressed,Data suppressed
535,"Clarke County, MS",0,0.0
536,"Clarke County, VA",0,0.0
537,"Clatsop County, OR",Data suppressed,Data suppressed
538,"Clay County, AL",Data suppressed,Data suppressed
539,"Clay County, AR",0,0.0
540,"Clay County, FL",11,6.2
541,"Clay County, GA",0,0.0
542,"Clay County, IA",0,0.0
543,"Clay County, IL",0,0.0
544,"Clay County, IN",0,0.0
545,"Clay County, KS",0,0.0
546,"Clay County, KY",Data suppressed,Data suppressed
547,"Clay County, MN",Data suppressed,Data suppressed
548,"Clay County, MO",17,8.5
549,"Clay County, MS",Data suppressed,Data suppressed
550,"Clay County, NC",0,0.0
551,"Clay County, NE",0,0.0
552,"Clay County, SD",0,0.0
553,"Clay County, TN",0,0.0
554,"Clay County, TX",0,0.0
555,"Clay County, WV",0,0.0
556,"Clayton County, GA",140,61.8
557,"Clayton County, IA",0,0.0
558,"Clear Creek County, CO",Data suppressed,Data suppressed
559,"Clearfield County, PA",7,10.1
560,"Clearwater County, ID",0,0.0
561,"Clearwater County, MN",0,0.0
562,"Cleburne County, AL",0,0.0
563,"Cleburne County, AR",0,0.0
564,"Clermont County, OH",Data suppressed,Data suppressed
565,"Cleveland County, AR",0,0.0
566,"Cleveland County, NC",11,13.4
567,"Cleveland County, OK",30,12.7
568,"Clinch County, GA",Data suppressed,Data suppressed
569,"Clinton County, IA",Data suppressed,Data suppressed
570,"Clinton County, IL",Data suppressed,Data suppressed
571,"Clinton County, IN",0,0.0
572,"Clinton County, KY",Data suppressed,Data suppressed
573,"Clinton County, MI",0,0.0
574,"Clinton County, MO",0,0.0
575,"Clinton County, NY",Data suppressed,Data suppressed
576,"Clinton County, OH",Data suppressed,Data suppressed
577,"Clinton County, PA",0,0.0
578,"Cloud County, KS",Data suppressed,Data suppressed
579,"Coahoma County, MS",6,32.4
580,"Coal County, OK",0,0.0
581,"Cobb County, GA",153,24.5
582,"Cochise County, AZ",5,4.8
583,"Cochran County, TX",0,0.0
584,"Cocke County, TN",Data suppressed,Data suppressed
585,"Coconino County, AZ",17,14.2
586,"Codington County, SD",0,0.0
587,"Coffee County, AL",Data suppressed,Data suppressed
588,"Coffee County, GA",7,19.8
589,"Coffee County, TN",Data suppressed,Data suppressed
590,"Coffey County, KS",0,0.0
591,"Coke County, TX",0,0.0
592,"Colbert County, AL",7,15.1
593,"Cole County, MO",6,9.3
594,"Coleman County, TX",Data suppressed,Data suppressed
595,"Coles County, IL",Data suppressed,Data suppressed
596,"Colfax County, NE",0,0.0
597,"Colfax County, NM",0,0.0
598,"Colleton County, SC",Data suppressed,Data suppressed
599,"Collier County, FL",41,12.6
600,"Collin County, TX",83,10.5
601,"Collingsworth County, TX",0,0.0
602,"Colonial Heights City, VA",Data suppressed,Data suppressed
603,"Colorado County, TX",0,0.0
604,"Colquitt County, GA",6,16.3
605,"Columbia County, AR",0,0.0
606,"Columbia County, FL",8,13.6
607,"Columbia County, GA",13,10.5
608,"Columbia County, NY",Data suppressed,Data suppressed
609,"Columbia County, OR",Data suppressed,Data suppressed
610,"Columbia County, PA",Data suppressed,Data suppressed
611,"Columbia County, WA",Data suppressed,Data suppressed
612,"Columbia County, WI",0,0.0
613,"Columbiana County, OH",Data suppressed,Data suppressed
614,"Columbus County, NC",11,23.1
615,"Colusa County, CA",Data suppressed,Data suppressed
616,"Comal County, TX",9,7.6
617,"Comanche County, KS",0,0.0
618,"Comanche County, OK",12,12.0
619,"Comanche County, TX",0,0.0
620,"Concho County, TX",0,0.0
621,"Concordia Parish, LA",Data suppressed,Data suppressed
622,"Conecuh County, AL",Data suppressed,Data suppressed
623,"Conejos County, CO",Data suppressed,Data suppressed
624,"Contra Costa County, CA",109,11.3
625,"Converse County, WY",Data suppressed,Data suppressed
626,"Conway County, AR",0,0.0
627,"Cook County, GA",Data suppressed,Data suppressed
628,"Cook County, IL",969,22.1
629,"Cook County, MN",0,0.0
630,"Cooke County, TX",Data suppressed,Data suppressed
631,"Cooper County, MO",0,0.0
632,"Coos County, NH",0,0.0
633,"Coos County, OR",Data suppressed,Data suppressed
634,"Coosa County, AL",0,0.0
635,"Copiah County, MS",7,29.4
636,"Corson County, SD",Data suppressed,Data suppressed
637,"Cortland County, NY",Data suppressed,Data suppressed
638,"Coryell County, TX",13,21.0
639,"Coshocton County, OH",0,0.0
640,"Costilla County, CO",0,0.0
641,"Cottle County, TX",0,0.0
642,"Cotton County, OK",0,0.0
643,"Cottonwood County, MN",0,0.0
644,"Covington City, VA",0,0.0
645,"Covington County, AL",Data suppressed,Data suppressed
646,"Covington County, MS",0,0.0
647,"Coweta County, GA",13,11.0
648,"Cowley County, KS",0,0.0
649,"Cowlitz County, WA",5,5.6
650,"Craig County, OK",0,0.0
651,"Craig County, VA",0,0.0
652,"Craighead County, AR",12,13.7
653,"Crane County, TX",0,0.0
654,"Craven County, NC",11,12.7
655,"Crawford County, AR",0,0.0
656,"Crawford County, GA",Data suppressed,Data suppressed
657,"Crawford County, IA",Data suppressed,Data suppressed
658,"Crawford County, IL",0,0.0
659,"Crawford County, IN",0,0.0
