"County"	FIPS	Deaths	Population	Crude_Rate
	"Autauga County, AL"	"01001"	Suppressed	55246	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	195540	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	27076	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22512	Suppressed
	"Blount County, AL"	"01009"	Suppressed	57872	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	10639	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20265	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	116736	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	34162	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	26203	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	43951	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	13426	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	25207	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13486	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14994	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	50938	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54520	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12887	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10898	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37886	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13986	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	80811	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49884	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	41996	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	71013	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	80902	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	37983	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	103931	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	16909	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31532	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26727	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8744	Suppressed
	"Hale County, AL"	"01065"	Suppressed	15406	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17296	Suppressed
	"Houston County, AL"	"01069"	Suppressed	103668	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	52951	Suppressed
	"Jefferson County, AL"	"01073"	56	659479	8.5
	"Lamar County, AL"	"01075"	Suppressed	14236	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	92797	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	33587	Suppressed
	"Lee County, AL"	"01081"	Suppressed	150933	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	88845	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	10703	Suppressed
	"Macon County, AL"	"01087"	Suppressed	19688	Suppressed
	"Madison County, AL"	"01089"	Suppressed	346892	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	20155	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30334	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	94760	Suppressed
	"Mobile County, AL"	"01097"	20	414079	4.8
	"Monroe County, AL"	"01099"	Suppressed	22236	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	226659	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	119787	Suppressed
	"Perry County, AL"	"01105"	Suppressed	10020	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19401	Suppressed
	"Pike County, AL"	"01109"	Suppressed	33339	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22727	Suppressed
	"Russell County, AL"	"01113"	Suppressed	59585	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	86308	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	204180	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	13361	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	81096	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41203	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	200821	Suppressed
	"Walker County, AL"	"01127"	Suppressed	65998	Suppressed
	"Washington County, AL"	"01129"	Suppressed	16877	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	11307	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24146	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3092	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5511	Suppressed
	"Anchorage Borough, AK"	"02020"	34	300950	11.3
	"Bethel Census Area, AK"	"02050"	Suppressed	17758	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	960	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1867	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	5010	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	100436	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	2592	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	32660	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	57147	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13729	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	14135	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1648	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	95192	Suppressed
	"Nome Census Area, AK"	"02180"	Suppressed	9892	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	9686	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7685	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	5786	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	9020	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3140	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6985	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	9763	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	7977	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	6174	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	642	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5695	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	71934	Suppressed
	"Cochise County, AZ"	"04003"	10	129473	Unreliable
	"Coconino County, AZ"	"04005"	Suppressed	136539	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	53053	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	37482	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	9049	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	20324	Suppressed
	"Maricopa County, AZ"	"04013"	205	4009412	5.1
	"Mohave County, AZ"	"04015"	46	203030	22.7
	"Navajo County, AZ"	"04017"	Suppressed	107322	Suppressed
	"Pima County, AZ"	"04019"	151	996554	15.2
	"Pinal County, AZ"	"04021"	27	389350	6.9
	"Santa Cruz County, AZ"	"04023"	Suppressed	46768	Suppressed
	"Yavapai County, AZ"	"04025"	10	215133	Unreliable
	"Yuma County, AZ"	"04027"	Suppressed	201201	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	18777	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	21283	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	40957	Suppressed
	"Benton County, AR"	"05007"	Suppressed	237297	Suppressed
	"Boone County, AR"	"05009"	Suppressed	37396	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	11249	Suppressed
